metric,numDEG,mean_performance,std_performance
euclidean,100,5.9297625,3.0283824876078644
euclidean,5000,21.7795,5.696831744048616
mmd,100,43.187062499999996,47.51700447860557
mmd,5000,502.7435875,299.6498170383338
mse,100,0.43186250000000004,0.4751902293893918
mse,5000,0.10055,0.059925572885991554
pearson_distance,100,1.1719375,0.2802644921064998
pearson_distance,5000,0.975875,0.038362584078016126
sym_kldiv,100,37.23649073964596,21.830557195811416
sym_kldiv,5000,33.3798691449762,20.500517996821056
wasserstein,100,93.1118,55.69784109401626
wasserstein,5000,3678.4235875,190.34429589452935
